FPR,TPR,Threshold
0.0,0.0,inf
0.006578947368421052,0.0,0.99
0.013157894736842105,0.0,0.9875
0.013157894736842105,0.006578947368421052,0.9851
0.11842105263157894,0.21710526315789475,0.956
0.11842105263157894,0.25,0.9061
0.13815789473684212,0.25,0.8911
0.13815789473684212,0.2565789473684211,0.8889
0.1513157894736842,0.2565789473684211,0.8758
0.1513157894736842,0.2631578947368421,0.8638
0.15789473684210525,0.2631578947368421,0.8629
0.15789473684210525,0.27631578947368424,0.8503
0.18421052631578946,0.27631578947368424,0.8094
0.18421052631578946,0.2894736842105263,0.7924
0.20394736842105263,0.2894736842105263,0.7714
0.20394736842105263,0.3026315789473684,0.7261
0.21052631578947367,0.3026315789473684,0.7245
0.21052631578947367,0.32894736842105265,0.6622
0.21710526315789475,0.32894736842105265,0.6201
0.21710526315789475,0.3355263157894737,0.62
0.23026315789473684,0.3355263157894737,0.606
0.23026315789473684,0.34210526315789475,0.5868
0.23684210526315788,0.34210526315789475,0.5784
0.23684210526315788,0.34868421052631576,0.5628
0.24342105263157895,0.34868421052631576,0.5485
0.24342105263157895,0.35526315789473684,0.5451
0.2565789473684211,0.35526315789473684,0.5199
0.2565789473684211,0.3618421052631579,0.5117
0.26973684210526316,0.3618421052631579,0.5054
0.26973684210526316,0.3881578947368421,0.47
0.27631578947368424,0.3881578947368421,0.4632
0.27631578947368424,0.39473684210526316,0.4596
0.28289473684210525,0.39473684210526316,0.4417
0.28289473684210525,0.40789473684210525,0.427
0.2894736842105263,0.40789473684210525,0.4268
0.2894736842105263,0.4342105263157895,0.3891
0.29605263157894735,0.4342105263157895,0.3769
0.29605263157894735,0.4473684210526316,0.3596
0.3026315789473684,0.4473684210526316,0.3454
0.3026315789473684,0.45394736842105265,0.3441
0.3092105263157895,0.45394736842105265,0.3437
0.3092105263157895,0.4934210526315789,0.3128
0.3157894736842105,0.4934210526315789,0.3123
0.3157894736842105,0.506578947368421,0.302
0.34210526315789475,0.506578947368421,0.297
0.34210526315789475,0.5131578947368421,0.2966
0.34868421052631576,0.5131578947368421,0.2961
0.34868421052631576,0.5592105263157895,0.2828
0.3618421052631579,0.5592105263157895,0.2786
0.3618421052631579,0.5657894736842105,0.2764
0.3684210526315789,0.5657894736842105,0.2744
0.3684210526315789,0.5986842105263158,0.2619
0.3815789473684211,0.5986842105263158,0.2552
0.3815789473684211,0.6052631578947368,0.2546
0.3815789473684211,0.618421052631579,0.2541
0.3815789473684211,0.625,0.2532
0.3881578947368421,0.625,0.2491
0.3881578947368421,0.631578947368421,0.2486
0.39473684210526316,0.631578947368421,0.248
0.39473684210526316,0.6578947368421053,0.2448
0.40131578947368424,0.6578947368421053,0.243
0.40131578947368424,0.6710526315789473,0.2406
0.40789473684210525,0.6710526315789473,0.2398
0.40789473684210525,0.6842105263157895,0.2332
0.4144736842105263,0.6842105263157895,0.2299
0.4144736842105263,0.6907894736842105,0.2245
0.4144736842105263,0.7039473684210527,0.2228
0.42105263157894735,0.7039473684210527,0.222
0.42105263157894735,0.7171052631578947,0.2216
0.4276315789473684,0.7171052631578947,0.2209
0.4276315789473684,0.7236842105263158,0.2207
0.4407894736842105,0.7236842105263158,0.2145
0.4407894736842105,0.7368421052631579,0.2135
0.4473684210526316,0.7368421052631579,0.2131
0.4473684210526316,0.743421052631579,0.2116
0.45394736842105265,0.743421052631579,0.21
0.45394736842105265,0.756578947368421,0.2077
0.46710526315789475,0.756578947368421,0.1995
0.46710526315789475,0.7894736842105263,0.1963
0.47368421052631576,0.7894736842105263,0.1937
0.47368421052631576,0.8026315789473685,0.1921
0.48026315789473684,0.8026315789473685,0.1917
0.48026315789473684,0.8092105263157895,0.1916
0.4868421052631579,0.8092105263157895,0.1903
0.4868421052631579,0.8157894736842105,0.1886
0.4934210526315789,0.8157894736842105,0.1821
0.4934210526315789,0.8355263157894737,0.1785
0.5,0.8355263157894737,0.1771
0.5,0.8552631578947368,0.1737
0.506578947368421,0.8552631578947368,0.1735
0.506578947368421,0.8881578947368421,0.1659
0.5197368421052632,0.8881578947368421,0.1653
0.5197368421052632,0.8947368421052632,0.1639
0.5263157894736842,0.8947368421052632,0.1578
0.5263157894736842,0.9013157894736842,0.1559
0.5394736842105263,0.9013157894736842,0.154
0.5394736842105263,0.9342105263157895,0.1484
0.5460526315789473,0.9342105263157895,0.1457
0.5460526315789473,0.9407894736842105,0.1452
0.5526315789473685,0.9407894736842105,0.1441
0.5526315789473685,0.9473684210526315,0.1439
0.5657894736842105,0.9473684210526315,0.1421
0.5657894736842105,0.9671052631578947,0.1372
0.5723684210526315,0.9671052631578947,0.1369
0.5723684210526315,0.9736842105263158,0.1367
0.5789473684210527,0.9736842105263158,0.135
0.5789473684210527,0.9802631578947368,0.1345
0.5921052631578947,0.9802631578947368,0.1291
0.5921052631578947,0.9868421052631579,0.1288
0.6052631578947368,0.9868421052631579,0.1265
0.6118421052631579,0.993421052631579,0.1256
0.625,0.993421052631579,0.1167
0.625,1.0,0.1154
0.743421052631579,1.0,0.0852
0.756578947368421,1.0,0.0808
0.9539473684210527,1.0,0.016
0.9671052631578947,1.0,0.0141
1.0,1.0,0.0071
